/var/spool/sge/node167/job_scripts/36378 - Theta X range: -22 to 22; Theta Y range:  -22 to 22
explicitDataBinaryFileN.bin: L:50 R:52 U:53 D:54 Z+:58 Z-:57
Fri Nov  6 17:02:45 GMT 2015
Cols: weights file, axis, target angles (x/y/z), peakposn1, peakposn2, bestweight, meanpeakposn1, meanpeakposn2, eyeposAvg(SD) (x/y/z).
50,2,-14.000000/8.000000/0.000000,23,38,0.573302,22.064237,35.967256,-13.978800(0.065532)/8.116839(0.111582)/0.078674(0.037250)
57,3,-14.000000/8.000000/0.000000,23,38,0.282231,22.064237,35.967256,-13.978800(0.065532)/8.116839(0.111582)/0.078674(0.037250)
54,1,-13.000000/-3.000000/0.000000,28,36,2.289330,26.725119,34.112999,-13.093125(0.071120)/-3.129301(0.097661)/-0.008984(0.047397)
52,2,-13.000000/-3.000000/0.000000,28,36,0.644383,26.725119,34.112999,-13.093125(0.071120)/-3.129301(0.097661)/-0.008984(0.047397)
57,3,-13.000000/-3.000000/0.000000,28,36,0.294177,26.725119,34.112999,-13.093125(0.071120)/-3.129301(0.097661)/-0.008984(0.047397)
54,1,-12.000000/-1.000000/0.000000,27,34,1.504889,25.929726,32.773330,-12.085638(0.094144)/-1.059724(0.026463)/0.062083(0.022864)
52,2,-12.000000/-1.000000/0.000000,27,34,0.302773,25.929726,32.773330,-12.085638(0.094144)/-1.059724(0.026463)/0.062083(0.022864)
57,3,-12.000000/-1.000000/0.000000,27,34,0.248560,25.929726,32.773330,-12.085638(0.094144)/-1.059724(0.026463)/0.062083(0.022864)
54,1,-13.000000/0.000000/0.000000,26,35,1.858461,25.296558,33.573253,-12.931638(0.183283)/0.024244(0.015728)/0.146580(0.040857)
52,2,-13.000000/0.000000/0.000000,26,35,0.219208,25.296558,33.573253,-12.931638(0.183283)/0.024244(0.015728)/0.146580(0.040857)
57,3,-13.000000/0.000000/0.000000,26,35,0.288572,25.296558,33.573253,-12.931638(0.183283)/0.024244(0.015728)/0.146580(0.040857)
54,1,-12.000000/0.000000/0.000000,26,34,1.369984,25.390268,32.760096,-11.919850(0.135951)/0.009952(0.006514)/0.088895(0.016671)
52,2,-12.000000/0.000000/0.000000,26,34,0.186995,25.390268,32.760096,-11.919850(0.135951)/0.009952(0.006514)/0.088895(0.016671)
57,3,-12.000000/0.000000/0.000000,26,34,0.245434,25.390268,32.760096,-11.919850(0.135951)/0.009952(0.006514)/0.088895(0.016671)
54,1,-12.000000/-9.000000/0.000000,31,37,1.336596,29.206195,35.469367,-11.910213(0.063061)/-8.978001(0.126067)/-0.029410(0.024545)
52,2,-12.000000/-9.000000/0.000000,31,37,1.064559,29.206195,35.469367,-11.910213(0.063061)/-8.978001(0.126067)/-0.029410(0.024545)
57,3,-12.000000/-9.000000/0.000000,31,37,0.194038,29.206195,35.469367,-11.910213(0.063061)/-8.978001(0.126067)/-0.029410(0.024545)
54,1,-12.000000/-8.000000/0.000000,30,37,1.304556,28.871077,35.342892,-12.018375(0.049722)/-8.165469(0.130509)/0.023181(0.025446)
52,2,-12.000000/-8.000000/0.000000,30,37,0.960626,28.871077,35.342892,-12.018375(0.049722)/-8.165469(0.130509)/0.023181(0.025446)
57,3,-12.000000/-8.000000/0.000000,30,37,0.192475,28.871077,35.342892,-12.018375(0.049722)/-8.165469(0.130509)/0.023181(0.025446)
54,1,-12.000000/4.000000/0.000000,24,35,1.020351,23.224235,33.212332,-11.982637(0.117523)/4.067300(0.047136)/0.019779(0.005590)
50,2,-12.000000/4.000000/0.000000,24,35,0.228597,23.224235,33.212332,-11.982637(0.117523)/4.067300(0.047136)/0.019779(0.005590)
57,3,-12.000000/4.000000/0.000000,24,35,0.216161,23.224235,33.212332,-11.982637(0.117523)/4.067300(0.047136)/0.019779(0.005590)
54,1,-12.000000/-11.000000/0.000000,31,39,1.550249,29.812537,36.589672,-11.970437(0.097679)/-10.980250(0.085109)/0.055296(0.030610)
52,2,-12.000000/-11.000000/0.000000,31,39,1.562942,29.812537,36.589672,-11.970437(0.097679)/-10.980250(0.085109)/0.055296(0.030610)
57,3,-12.000000/-11.000000/0.000000,31,39,0.186449,29.812537,36.589672,-11.970437(0.097679)/-10.980250(0.085109)/0.055296(0.030610)
54,1,-12.000000/-4.000000/0.000000,29,35,1.562285,27.389395,33.615349,-12.036650(0.937639)/-4.256868(0.286591)/-0.448306(0.024946)
52,2,-12.000000/-4.000000/0.000000,29,35,0.631893,27.389395,33.615349,-12.036650(0.937639)/-4.256868(0.286591)/-0.448306(0.024946)
57,3,-12.000000/-4.000000/0.000000,29,35,0.267688,27.389395,33.615349,-12.036650(0.937639)/-4.256868(0.286591)/-0.448306(0.024946)
54,1,-12.000000/5.000000/0.000000,24,35,1.009450,22.876103,33.713188,-11.877013(0.137180)/5.111750(0.061594)/0.047857(0.008825)
50,2,-12.000000/5.000000/0.000000,24,35,0.303111,22.876103,33.713188,-11.877013(0.137180)/5.111750(0.061594)/0.047857(0.008825)
57,3,-12.000000/5.000000/0.000000,24,35,0.213223,22.876103,33.713188,-11.877013(0.137180)/5.111750(0.061594)/0.047857(0.008825)
54,1,-13.000000/8.000000/0.000000,22,37,1.358137,21.873526,35.276638,-13.002963(0.069170)/8.160334(0.124238)/0.061645(0.025087)
50,2,-13.000000/8.000000/0.000000,22,37,0.566575,21.873526,35.276638,-13.002963(0.069170)/8.160334(0.124238)/0.061645(0.025087)
57,3,-13.000000/8.000000/0.000000,22,37,0.258121,21.873526,35.276638,-13.002963(0.069170)/8.160334(0.124238)/0.061645(0.025087)
54,1,-12.000000/11.000000/0.000000,21,38,1.260006,20.679752,36.201318,-12.047588(0.122436)/11.196763(0.273775)/-0.011200(0.058959)
50,2,-12.000000/11.000000/0.000000,21,38,0.848040,20.679752,36.201318,-12.047588(0.122436)/11.196763(0.273775)/-0.011200(0.058959)
57,3,-12.000000/11.000000/0.000000,21,38,0.261833,20.679752,36.201318,-12.047588(0.122436)/11.196763(0.273775)/-0.011200(0.058959)
54,1,-12.000000/7.000000/0.000000,23,36,1.074818,22.000102,34.261047,-12.033950(0.114805)/6.947354(0.073282)/0.007801(0.017056)
50,2,-12.000000/7.000000/0.000000,23,36,0.446216,22.000102,34.261047,-12.033950(0.114805)/6.947354(0.073282)/0.007801(0.017056)
57,3,-12.000000/7.000000/0.000000,23,36,0.228408,22.000102,34.261047,-12.033950(0.114805)/6.947354(0.073282)/0.007801(0.017056)
54,1,-11.000000/-1.000000/0.000000,27,33,1.166261,25.930477,31.660374,-10.931987(0.094507)/-0.998244(0.014877)/-0.104894(0.008968)
52,2,-11.000000/-1.000000/0.000000,27,33,0.265111,25.930477,31.660374,-10.931987(0.094507)/-0.998244(0.014877)/-0.104894(0.008968)
57,3,-11.000000/-1.000000/0.000000,27,33,0.231052,25.930477,31.660374,-10.931987(0.094507)/-0.998244(0.014877)/-0.104894(0.008968)
54,1,-11.000000/-11.000000/0.000000,32,38,1.242773,30.103782,36.117355,-10.834387(0.202167)/-10.938275(0.094410)/0.024900(0.016125)
52,2,-11.000000/-11.000000/0.000000,32,38,1.418390,30.103782,36.117355,-10.834387(0.202167)/-10.938275(0.094410)/0.024900(0.016125)
57,3,-11.000000/-11.000000/0.000000,32,38,0.173033,30.103782,36.117355,-10.834387(0.202167)/-10.938275(0.094410)/0.024900(0.016125)
54,1,-11.000000/-8.000000/0.000000,31,36,1.045839,29.252183,34.431057,-11.029675(0.129932)/-8.013129(0.102281)/0.049677(0.011682)
52,2,-11.000000/-8.000000/0.000000,31,36,0.863802,29.252183,34.431057,-11.029675(0.129932)/-8.013129(0.102281)/0.049677(0.011682)
57,3,-11.000000/-8.000000/0.000000,31,36,0.171335,29.252183,34.431057,-11.029675(0.129932)/-8.013129(0.102281)/0.049677(0.011682)
54,1,-12.000000/8.000000/0.000000,22,36,1.098946,21.681027,34.670132,-12.065050(0.109961)/8.040122(0.092241)/-0.022695(0.017108)
50,2,-12.000000/8.000000/0.000000,22,36,0.530611,21.681027,34.670132,-12.065050(0.109961)/8.040122(0.092241)/-0.022695(0.017108)
57,3,-12.000000/8.000000/0.000000,22,36,0.234195,21.681027,34.670132,-12.065050(0.109961)/8.040122(0.092241)/-0.022695(0.017108)
54,1,-11.000000/-6.000000/0.000000,30,35,1.000814,28.499867,33.565461,-11.084188(0.061914)/-6.066986(0.034039)/-0.028826(0.004910)
52,2,-11.000000/-6.000000/0.000000,30,35,0.660325,28.499867,33.565461,-11.084188(0.061914)/-6.066986(0.034039)/-0.028826(0.004910)
57,3,-11.000000/-6.000000/0.000000,30,35,0.181544,28.499867,33.565461,-11.084188(0.061914)/-6.066986(0.034039)/-0.028826(0.004910)
54,1,-11.000000/-9.000000/0.000000,31,37,1.108829,29.553143,35.030471,-10.994687(0.079743)/-9.150850(0.098097)/0.009005(0.012178)
52,2,-11.000000/-9.000000/0.000000,31,37,1.014300,29.553143,35.030471,-10.994687(0.079743)/-9.150850(0.098097)/0.009005(0.012178)
57,3,-11.000000/-9.000000/0.000000,31,37,0.173971,29.553143,35.030471,-10.994687(0.079743)/-9.150850(0.098097)/0.009005(0.012178)
54,1,-11.000000/-10.000000/0.000000,31,37,1.189716,29.776171,35.481943,-11.013438(0.075336)/-10.126613(0.062917)/-0.108057(0.010757)
52,2,-11.000000/-10.000000/0.000000,31,37,1.201365,29.776171,35.481943,-11.013438(0.075336)/-10.126613(0.062917)/-0.108057(0.010757)
57,3,-11.000000/-10.000000/0.000000,31,37,0.184827,29.776171,35.481943,-11.013438(0.075336)/-10.126613(0.062917)/-0.108057(0.010757)
54,1,-11.000000/-13.000000/0.000000,32,39,1.495876,30.494785,37.147970,-10.781788(0.386483)/-13.302338(0.141849)/-0.112480(0.044833)
52,2,-11.000000/-13.000000/0.000000,32,39,2.443216,30.494785,37.147970,-10.781788(0.386483)/-13.302338(0.141849)/-0.112480(0.044833)
57,3,-11.000000/-13.000000/0.000000,32,39,0.184055,30.494785,37.147970,-10.781788(0.386483)/-13.302338(0.141849)/-0.112480(0.044833)
54,1,-11.000000/2.000000/0.000000,25,33,0.890158,24.108622,31.743412,-11.004375(0.129777)/2.046335(0.028208)/0.125101(0.003644)
50,2,-11.000000/2.000000/0.000000,25,33,0.097053,24.108622,31.743412,-11.004375(0.129777)/2.046335(0.028208)/0.125101(0.003644)
57,3,-11.000000/2.000000/0.000000,25,33,0.184847,24.108622,31.743412,-11.004375(0.129777)/2.046335(0.028208)/0.125101(0.003644)
54,1,-11.000000/-7.000000/0.000000,30,36,0.993953,28.920281,34.064889,-10.861312(0.076480)/-7.014061(0.055267)/0.018052(0.006060)
52,2,-11.000000/-7.000000/0.000000,30,36,0.748081,28.920281,34.064889,-10.861312(0.076480)/-7.014061(0.055267)/0.018052(0.006060)
57,3,-11.000000/-7.000000/0.000000,30,36,0.172838,28.920281,34.064889,-10.861312(0.076480)/-7.014061(0.055267)/0.018052(0.006060)
54,1,-12.000000/6.000000/0.000000,23,36,1.024848,22.397071,33.944869,-11.865487(0.100928)/6.047856(0.053164)/0.038511(0.008759)
50,2,-12.000000/6.000000/0.000000,23,36,0.373601,22.397071,33.944869,-11.865487(0.100928)/6.047856(0.053164)/0.038511(0.008759)
57,3,-12.000000/6.000000/0.000000,23,36,0.217884,22.397071,33.944869,-11.865487(0.100928)/6.047856(0.053164)/0.038511(0.008759)
54,1,-11.000000/3.000000/0.000000,24,34,0.886407,23.602923,32.137948,-11.000475(0.075721)/3.018725(0.027975)/0.102963(0.005521)
50,2,-11.000000/3.000000/0.000000,24,34,0.160527,23.602923,32.137948,-11.000475(0.075721)/3.018725(0.027975)/0.102963(0.005521)
57,3,-11.000000/3.000000/0.000000,24,34,0.186866,23.602923,32.137948,-11.000475(0.075721)/3.018725(0.027975)/0.102963(0.005521)
54,1,-11.000000/5.000000/0.000000,23,34,0.902867,22.521805,32.533999,-11.026500(0.092507)/5.048611(0.050610)/0.094297(0.004545)
50,2,-11.000000/5.000000/0.000000,23,34,0.298817,22.521805,32.533999,-11.026500(0.092507)/5.048611(0.050610)/0.094297(0.004545)
57,3,-11.000000/5.000000/0.000000,23,34,0.192125,22.521805,32.533999,-11.026500(0.092507)/5.048611(0.050610)/0.094297(0.004545)
54,1,-11.000000/-2.000000/0.000000,28,33,1.173513,26.586934,32.012259,-10.938337(0.122520)/-2.065383(0.033344)/0.112294(0.011570)
52,2,-11.000000/-2.000000/0.000000,28,33,0.362006,26.586934,32.012259,-10.938337(0.122520)/-2.065383(0.033344)/0.112294(0.011570)
57,3,-11.000000/-2.000000/0.000000,28,33,0.202683,26.586934,32.012259,-10.938337(0.122520)/-2.065383(0.033344)/0.112294(0.011570)
54,1,-11.000000/7.000000/0.000000,22,35,0.911287,21.754697,33.505275,-10.857675(0.154681)/6.974098(0.116341)/0.090569(0.010210)
50,2,-11.000000/7.000000/0.000000,22,35,0.439724,21.754697,33.505275,-10.857675(0.154681)/6.974098(0.116341)/0.090569(0.010210)
