/var/spool/sge/node176/job_scripts/1760505 - Theta X range: -12 to 12; Theta Y range:  -12 to 12
explicitDataBinaryFileN.bin: L:50 R:52 U:53 D:54 Z+:58 Z-:57
Thu Sep 24 13:54:02 BST 2015
Cols: weights file, axis, target angles (x/y/z), peakposn1, peakposn2, bestweight, meanpeakposn1, meanpeakposn2, eyeposAvg(SD) (x/y/z).
57,3,-12.000000/2.000000/0.000000,25,34,0.207775,24.251662,32.689838,-12.073550(0.125045)/2.109799(0.026724)/0.063894(0.005496)
54,1,-10.000000/4.000000/0.000000,24,32,0.750487,22.866154,31.150365,-9.946190(0.082117)/4.013387(0.038996)/0.129559(0.003450)
50,2,-10.000000/4.000000/0.000000,24,32,0.224302,22.866154,31.150365,-9.946190(0.082117)/4.013387(0.038996)/0.129559(0.003450)
57,3,-10.000000/4.000000/0.000000,24,32,0.160723,22.866154,31.150365,-9.946190(0.082117)/4.013387(0.038996)/0.129559(0.003450)
54,1,-9.000000/-6.000000/0.000000,30,33,0.719332,29.021664,31.801998,-8.936115(0.059779)/-5.953148(0.036461)/-0.018051(0.004967)
52,2,-9.000000/-6.000000/0.000000,30,33,0.557119,29.021664,31.801998,-8.936115(0.059779)/-5.953148(0.036461)/-0.018051(0.004967)
57,3,-9.000000/-6.000000/0.000000,30,33,0.149121,29.021664,31.801998,-8.936115(0.059779)/-5.953148(0.036461)/-0.018051(0.004967)
54,1,-9.000000/-8.000000/0.000000,31,35,0.775082,29.855448,33.044284,-9.068447(0.044679)/-8.039319(0.041710)/-0.000862(0.002874)
52,2,-9.000000/-8.000000/0.000000,31,35,0.754045,29.855448,33.044284,-9.068447(0.044679)/-8.039319(0.041710)/-0.000862(0.002874)
57,3,-9.000000/-8.000000/0.000000,31,35,0.150592,29.855448,33.044284,-9.068447(0.044679)/-8.039319(0.041710)/-0.000862(0.002874)
54,1,-9.000000/-7.000000/0.000000,31,34,0.731404,29.480879,32.498403,-8.951011(0.060093)/-6.955605(0.044913)/0.034356(0.004024)
52,2,-9.000000/-7.000000/0.000000,31,34,0.639495,29.480879,32.498403,-8.951011(0.060093)/-6.955605(0.044913)/0.034356(0.004024)
57,3,-9.000000/-7.000000/0.000000,31,34,0.144762,29.480879,32.498403,-8.951011(0.060093)/-6.955605(0.044913)/0.034356(0.004024)
54,1,-9.000000/-5.000000/0.000000,30,32,0.705293,28.594958,31.137537,-8.929657(0.049012)/-5.020556(0.021365)/0.016138(0.001332)
52,2,-9.000000/-5.000000/0.000000,30,32,0.479841,28.594958,31.137537,-8.929657(0.049012)/-5.020556(0.021365)/0.016138(0.001332)
57,3,-9.000000/-5.000000/0.000000,30,32,0.146992,28.594958,31.137537,-8.929657(0.049012)/-5.020556(0.021365)/0.016138(0.001332)
54,1,-9.000000/-3.000000/0.000000,29,31,0.687413,27.590796,30.087700,-9.007525(0.058295)/-2.874194(0.019461)/-0.011546(0.004800)
52,2,-9.000000/-3.000000/0.000000,29,31,0.317814,27.590796,30.087700,-9.007525(0.058295)/-2.874194(0.019461)/-0.011546(0.004800)
57,3,-9.000000/-3.000000/0.000000,29,31,0.150921,27.590796,30.087700,-9.007525(0.058295)/-2.874194(0.019461)/-0.011546(0.004800)
54,1,-9.000000/2.000000/0.000000,25,30,0.659508,24.008236,29.170662,-8.911697(0.027136)/1.958128(0.007159)/0.000799(0.002308)
50,2,-9.000000/2.000000/0.000000,25,30,0.101583,24.008236,29.170662,-8.911697(0.027136)/1.958128(0.007159)/0.000799(0.002308)
57,3,-9.000000/2.000000/0.000000,25,30,0.154566,24.008236,29.170662,-8.911697(0.027136)/1.958128(0.007159)/0.000799(0.002308)
54,1,-8.000000/-6.000000/0.000000,31,32,0.625022,29.486010,30.768568,-7.991176(0.033893)/-5.862441(0.019650)/-0.042106(0.002133)
52,2,-8.000000/-6.000000/0.000000,31,32,0.523221,29.486010,30.768568,-7.991176(0.033893)/-5.862441(0.019650)/-0.042106(0.002133)
57,3,-8.000000/-6.000000/0.000000,31,32,0.137703,29.486010,30.768568,-7.991176(0.033893)/-5.862441(0.019650)/-0.042106(0.002133)
54,1,-10.000000/7.000000/0.000000,22,34,0.797441,21.468513,32.579064,-10.101200(0.043980)/7.050321(0.037963)/0.032932(0.003169)
50,2,-10.000000/7.000000/0.000000,22,34,0.425880,21.468513,32.579064,-10.101200(0.043980)/7.050321(0.037963)/0.032932(0.003169)
57,3,-10.000000/7.000000/0.000000,22,34,0.174258,21.468513,32.579064,-10.101200(0.043980)/7.050321(0.037963)/0.032932(0.003169)
54,1,-8.000000/-9.000000/0.000000,32,35,0.676666,30.616320,33.087241,-7.943424(0.041827)/-9.053585(0.060740)/-0.047982(0.005114)
52,2,-8.000000/-9.000000/0.000000,32,35,0.810823,30.616320,33.087241,-7.943424(0.041827)/-9.053585(0.060740)/-0.047982(0.005114)
57,3,-8.000000/-9.000000/0.000000,32,35,0.138577,30.616320,33.087241,-7.943424(0.041827)/-9.053585(0.060740)/-0.047982(0.005114)
54,1,-10.000000/5.000000/0.000000,23,33,0.774971,22.327357,31.539729,-10.039134(0.065775)/4.988636(0.036055)/-0.043878(0.004317)
50,2,-10.000000/5.000000/0.000000,23,33,0.284908,22.327357,31.539729,-10.039134(0.065775)/4.988636(0.036055)/-0.043878(0.004317)
57,3,-10.000000/5.000000/0.000000,23,33,0.176030,22.327357,31.539729,-10.039134(0.065775)/4.988636(0.036055)/-0.043878(0.004317)
54,1,-9.000000/-1.000000/0.000000,27,31,0.674689,26.147567,29.429336,-8.909522(0.078880)/-0.985517(0.009715)/0.013294(0.002572)
52,2,-9.000000/-1.000000/0.000000,27,31,0.187346,26.147567,29.429336,-8.909522(0.078880)/-0.985517(0.009715)/0.013294(0.002572)
57,3,-9.000000/-1.000000/0.000000,27,31,0.151740,26.147567,29.429336,-8.909522(0.078880)/-0.985517(0.009715)/0.013294(0.002572)
54,1,-8.000000/-8.000000/0.000000,32,34,0.659378,30.374966,32.278850,-7.988232(0.021257)/-7.931119(0.021241)/0.081131(0.002838)
52,2,-8.000000/-8.000000/0.000000,32,34,0.704684,30.374966,32.278850,-7.988232(0.021257)/-7.931119(0.021241)/0.081131(0.002838)
57,3,-8.000000/-8.000000/0.000000,32,34,0.129876,30.374966,32.278850,-7.988232(0.021257)/-7.931119(0.021241)/0.081131(0.002838)
54,1,-9.000000/6.000000/0.000000,22,32,0.695429,21.591029,30.894065,-9.088925(0.040600)/5.997447(0.029405)/0.035043(0.001870)
50,2,-9.000000/6.000000/0.000000,22,32,0.355346,21.591029,30.894065,-9.088925(0.040600)/5.997447(0.029405)/0.035043(0.001870)
